,Name,Platform,Year,Lumino+E1,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4431,FIFA Soccer 13,3DS,2012,Action,Electronic Arts,0.06,0.2,0,0.03,0.29
4432,FIFA Soccer 2002,PS2,2001,Sports,Electronic Arts,0.31,0.24,0,0.08,0.63
4433,FIFA Soccer 2002,GC,2001,Sports,Electronic Arts,0.14,0.04,0,0,0.18
4434,FIFA Soccer 2002,PS,2001,Sports,Electronic Arts,0.08,0.06,0,0.01,0.15
4435,FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4
4436,FIFA Soccer 2003,XB,2002,Sports,Electronic Arts,0.2,0.4,0,0.04,0.63
4437,FIFA Soccer 2003,GC,2002,Sports,Electronic Arts,0.06,0.02,0,0,0.08
4438,FIFA Soccer 2003,GBA,2002,Sports,Electronic Arts,0.04,0.01,0,0,0.05
4440,FIFA Soccer 2004,PS2,2003,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49
4441,FIFA Soccer 2004,XB,2003,Sports,Electronic Arts,0.24,0.49,0,0.05,0.79
4442,FIFA Soccer 2004,GC,2003,Sports,Electronic Arts,0.05,0.01,0,0,0.07
4443,FIFA Soccer 2004,GBA,2003,Sports,Electronic Arts,0.04,0.01,0,0,0.05
4444,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7
4445,FIFA Soccer 2005,XB,2004,Sports,Electronic Arts,0.33,0.6,0,0.04,0.97
4446,FIFA Soccer 2005,GC,2004,Sports,Electronic Arts,0.11,0.03,0,0,0.14
4447,FIFA Soccer 2005,GBA,2004,Sports,Electronic Arts,0.06,0.02,0,0,0.08
4448,FIFA Soccer 64,N64,1997,Sports,Electronic Arts,0.16,0.3,0,0.03,0.49
4449,FIFA Soccer 96,PS,1995,Sports,Electronic Arts,0.09,0.06,0,0.01,0.16
4450,FIFA Soccer 97,PS,1996,Sports,Electronic Arts,0.09,0.06,0,0.01,0.16
4451,FIFA Soccer World Championship,PS2,2000,Sports,Electronic Arts,0.27,0.21,0.28,0.07,0.83
4452,FIFA Street,PS3,2012,Sports,Electronic Arts,0.11,0.92,0,0.25,1.29
4453,FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.65,0,0.1,0.92
4454,FIFA Street,PS2,2005,Sports,Electronic Arts,0.15,0.12,0,0.04,0.31
4455,FIFA Street,XB,2005,Sports,Electronic Arts,0.08,0.02,0,0,0.1
4456,FIFA Street,GC,2005,Sports,Electronic Arts,0.04,0.01,0,0,0.06
4457,FIFA Street 2,PS2,2006,Sports,Electronic Arts,0.17,0.13,0.02,0.04,0.37
4458,FIFA Street 2,PSP,2006,Sports,Electronic Arts,0.07,0.06,0,0.03,0.15
4459,FIFA Street 2,GC,2006,Sports,Electronic Arts,0.09,0.02,0,0,0.11
4460,FIFA Street 2,XB,2006,Sports,Electronic Arts,0.06,0.02,0,0,0.08
4461,FIFA Street 2,DS,2006,Sports,Electronic Arts,0.04,0,0,0,0.04
4462,FIFA Street 3,PS3,2008,Sports,Electronic Arts,0.08,0.18,0,0.06,0.33
4463,FIFA Street 3,X360,2008,Sports,Electronic Arts,0.12,0.14,0,0.03,0.3
4464,FIFA Street 3,DS,2008,Sports,Electronic Arts,0.07,0.02,0,0.01,0.09
4465,FIFA World Cup Germany 2006,PS2,2006,Sports,Electronic Arts,0.47,0.02,0,0.08,0.57
4466,FIFA World Cup Germany 2006,X360,2006,Sports,Electronic Arts,0.19,0.27,0.01,0,0.48
4467,FIFA World Cup Germany 2006,XB,2006,Sports,Electronic Arts,0.18,0.05,0,0.01,0.24
4468,FIFA World Cup Germany 2006,GC,2006,Sports,Electronic Arts,0.1,0.03,0,0,0.13
4469,FIFA World Cup Germany 2006,PSP,2006,Sports,Electronic Arts,0.1,0,0,0.01,0.11
4470,FIFA World Cup Germany 2006,DS,2006,Sports,Electronic Arts,0.03,0,0,0,0.04
4471,FIFA World Cup: Germany 2006,GBA,2006,Sports,Electronic Arts,0.02,0.01,0,0,0.03
4472,FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,0.15,0.39,0,0.03,0.58
4473,FIFA: Road to World Cup 98,PS,1997,Sports,Electronic Arts,0.14,0.09,0.46,0.05,0.73
4474,Fifi and the Flowertots,DS,2009,Educational,Avanquest,0,0.09,0,0.01,0.1
4475,Fight Club,PS2,2004,Fighting,Vivendi Games,0.09,0.07,0,0.02,0.18
4476,Fight Club,XB,2004,Fighting,Vivendi Games,0.08,0.02,0,0,0.11
4477,Fight Night 2004,PS2,2004,Fighting,Electronic Arts,1.08,0.2,0,0.2,1.48
4478,Fight Night 2004,XB,2004,Fighting,Electronic Arts,0.51,0.15,0,0.02,0.68
4479,Fight Night Champion,PS3,2011,Fighting,Electronic Arts,0.45,0.51,0,0.19,1.15
4480,Fight Night Champion,X360,2011,Fighting,Electronic Arts,0.4,0.33,0,0.07,0.8
4481,Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0,0.12,0.87
4482,Fight Night Round 2,XB,2005,Fighting,Electronic Arts,0.42,0.16,0,0.02,0.6
4483,Fight Night Round 2,GC,2005,Fighting,Electronic Arts,0.13,0.03,0,0,0.17
4484,Fight Night Round 2004,XB,2004,Fighting,Electronic Arts,0.46,0.18,0,0.03,0.67
4485,Fight Night Round 3,PS3,2006,Fighting,Electronic Arts,0.81,0.59,0.01,0.26,1.67
4486,Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,1.07,0.4,0,0.1,1.56
4487,Fight Night Round 3,X360,2006,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47
4488,Fight Night Round 3,PSP,2006,Fighting,Electronic Arts,0.46,0.02,0,0.05,0.52
4489,Fight Night Round 3,XB,2006,Fighting,Electronic Arts,0.26,0.06,0,0.01,0.33
4490,Fight Night Round 4,PS3,2009,Fighting,Electronic Arts,0.92,0.41,0,0.21,1.53
4491,Fight Night Round 4,X360,2009,Fighting,Electronic Arts,0.95,0.34,0,0.13,1.41
4492,Fighter Destiny 2,N64,1999,Fighting,Imagineer,0.04,0.01,0,0,0.05
4493,Fighter Maker,PS,1998,Fighting,Agetec,0.05,0.04,0.07,0.01,0.17
4494,Fighter Maker 2,PS2,2002,Fighting,Enterbrain,0.03,0.03,0,0.01,0.07
4495,Fighter Within,XOne,2013,Fighting,Ubisoft,0.11,0.07,0,0.02,0.19
4496,Fighters Destiny,N64,1998,Fighting,Ocean,0.13,0.03,0,0,0.16
4497,Fighters MEGAMiX,SAT,1996,Fighting,Sega,0,0,0.62,0,0.62
4498,Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.31,0.24,0,0.06,0.61
4499,Fighting Fantasy: The Warlock of Firetop Mountain,DS,2009,Role-Playing,Aspyr,0.09,0,0,0.01,0.09
4500,Fighting Force,PS,1997,Fighting,Eidos Interactive,0.73,0.5,0,0.09,1.32
4501,Fighting Force 2,PS,1999,Action,Eidos Interactive,0.31,0.21,0,0.04,0.55
4502,Fighting Force 64,N64,1999,Action,Crave Entertainment,0.09,0.02,0,0,0.11
4503,Fighting Vipers,SAT,1995,Fighting,Sega,0,0,0.4,0,0.4
4504,Fighting Vipers 2,DC,2000,Fighting,Sega,0,0,0.04,0,0.04
4505,Final Approach 2: 1st Priority,PS2,2008,Adventure,Princess Soft,0,0,0.02,0,0.02
4506,Final Doom,PS,1995,Shooter,GT Interactive,0.15,0.1,0,0.02,0.27
4507,Final Fantasy,WS,2000,Role-Playing,SquareSoft,0,0,0.51,0,0.51
4508,Final Fantasy,NES,1987,Role-Playing,SquareSoft,0.32,0,0.52,0,0.84
4509,Final Fantasy Adventure,GB,1991,Role-Playing,SquareSoft,0,0,0.38,0,0.38
4510,Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.59
4511,Final Fantasy Anthology,PS,1999,Compilation,Square EA,0.45,0.3,0,0.05,0.8
4512,Final Fantasy Chronicles,PS,2001,Compilation,Square,0.29,0.2,0,0.03,0.52
4513,Final Fantasy Collection,PS,1999,Compilation,Square,0,0,0.42,0.03,0.45
4514,Final Fantasy Crystal Chronicles: Echoes of Time,DS,2009,Role-Playing,Square Enix,0.12,0.06,0.27,0.02,0.48
4515,Final Fantasy Crystal Chronicles: Echoes of Time,Wii,2009,Role-Playing,Square Enix,0.13,0.06,0.05,0.02,0.26
4516,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.67
4517,Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,Action,Square Enix,0.22,0.08,0.08,0.03,0.4
4518,Final Fantasy Explorers,3DS,2014,Role-Playing,Square Enix,0.15,0.07,0.28,0.02,0.52
4519,Final Fantasy Fables: Chocobo Tales,DS,2006,Adventure,Ubisoft,0.11,0.01,0.12,0.01,0.24
4520,Final Fantasy Fables: Chocobo's Dungeon,Wii,2007,Role-Playing,Square Enix,0.09,0,0.11,0.01,0.21
4521,Final Fantasy 1 & 2,NES,1994,Role-Playing,Square,0,0,0.11,0,0.11
4522,Final Fantasy 1 & 2: Dawn of Souls,GBA,2004,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19
4523,Final Fantasy 2,WS,2001,Role-Playing,SquareSoft,0,0,0.25,0,0.25
4524,Final Fantasy 2,SNES,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77
4525,Final Fantasy 2,NES,1988,Role-Playing,SquareSoft,0,0,0.76,0,0.76
4526,Final Fantasy II Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.36,0.03,0.07,0.04,0.51
4527,Final Fantasy 3,PSP,2012,Role-Playing,Square Enix,0,0,0.11,0,0.11
4528,Final Fantasy 3,DS,2006,Role-Playing,Square Enix,0.91,0.05,1.07,0.09,2.12
4529,Final Fantasy 3,SNES,1994,Role-Playing,SquareSoft,0.86,0,2.55,0.02,3.42
4530,Final Fantasy 3,NES,1990,Role-Playing,SquareSoft,0,0,1.39,0.01,1.4
4531,Final Fantasy 4,DS,2007,Simulation,Square Enix,0.54,0.05,0.62,0.05,1.26
4532,Final Fantasy 4,PS,1997,Simulation,SquareSoft,0,0,0.29,0.02,0.31
4533,Final Fantasy IV Advance,GBA,2005,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.61
4534,Final Fantasy 4: The Complete Collection,PSP,2011,Role-Playing,Square Enix,0.13,0.09,0.27,0.06,0.56
4535,Final Fantasy 9,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
4536,Final Fantasy Legend 3,GB,1991,Role-Playing,SquareSoft,0,0,0.76,0,0.76
4537,Final Fantasy Tactics,PS,1997,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45
4538,Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007,Role-Playing,Square Enix,0.42,0.03,0.3,0.04,0.79
4539,Final Fantasy Tactics Advance,GBA,2003,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,2.13
4540,Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.45,0.25,0.3,0.16,1.16
4541,Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.97
4542,Final Fantasy Type-0,XOne,2015,Role-Playing,Square Enix,0.15,0.07,0,0.02,0.25
4543,Final Fantasy Type-0,PSP,2011,Role-Playing,Unknown,0,0,0.81,0,0.81
4544,Final Fantasy V,PS,1998,Role-Playing,SquareSoft,0,0,0.16,0.01,0.17
4545,Final Fantasy V,SNES,1992,Role-Playing,SquareSoft,0,0,2.43,0.02,2.45
4546,Final Fantasy V Advance,GBA,2006,Role-Playing,Nintendo,0,0,0.26,0.01,0.26
4547,Final Fantasy 6,PS,1999,Role-Playing,Sony Computer Entertainment,0,0,0.08,0.01,0.08
4548,Final Fantasy VI Advance,GBA,2006,Role-Playing,Nintendo,0,0,0.28,0.01,0.28
4549,Final Fantasy 7,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
4550,Final Fantasy VII International,PS,1997,Role-Playing,Square,0,0,0.59,0.04,0.63
4551,Final Fantasy 8,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
4552,Final Fantasy 10,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
4553,Final Fantasy X / X-2 HD Remaster,PS3,2013,Role-Playing,Square Enix,0.43,0.4,0.32,0.18,1.33
4554,Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,0.21,0.31,0.28,0.16,0.97
4555,Final Fantasy X International,PS2,2004,Role-Playing,Square Enix,0,0,0.27,0,0.27
4556,Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix,0.29,0.25,0.06,0.11,0.71
4557,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
4558,Final Fantasy X-2: International + Last Mission,PS2,2004,Role-Playing,Square Enix,0,0,0.29,0,0.29
4559,Final Fantasy 11,X360,2006,Role-Playing,Square Enix,0.17,0.01,0,0.01,0.19
4560,Final Fantasy 11,PS2,2002,Role-Playing,Sony Computer Entertainment,0.08,0.06,0.15,0.02,0.32
4561,Final Fantasy 11: All-In-One Pack 2006,X360,2006,Role-Playing,Square Enix,0,0,0.02,0,0.02
4562,Final Fantasy 11: Chains of Promathia,PS2,2004,Role-Playing,Square Enix,0.12,0.09,0,0.03,0.25
4563,Final Fantasy 11: Rise of the Zilart,PS2,2003,Role-Playing,Square Enix,0,0,0.13,0,0.13
4564,Final Fantasy 11: Treasures of Aht Urhgan,PS2,2006,Role-Playing,Square Enix,0.06,0.05,0.1,0.02,0.23
4565,Final Fantasy 11: Ultimate Collection,X360,2009,Compilation,Square Enix,0.25,0,0,0.02,0.27
4566,Final Fantasy 11: Vana'diel Collection 2008,X360,2007,Compilation,Square Enix,0.13,0,0.01,0.01,0.15
4567,Final Fantasy 11: Vana'diel Collection 2008,PS2,2007,Compilation,Square Enix,0.03,0.03,0.01,0.01,0.08
4568,Final Fantasy 11: Wings of the Goddess,PS2,2007,Role-Playing,Square Enix,0.35,0.27,0.09,0.09,0.81
4569,Final Fantasy 11: Wings of the Goddess,X360,2007,Role-Playing,Square Enix,0.25,0,0.02,0.02,0.3
4570,Final Fantasy 12,PS2,2006,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95
4571,Final Fantasy XII International Zodiac Job System,PS2,2007,Role-Playing,Square Enix,0,0,0.11,0,0.11
4572,Final Fantasy 12: Revenant Wings,DS,2007,Role-Playing,Square Enix,0.34,0.42,0.54,0.1,1.39
4573,Final Fantasy 13,X360,2010,Role-Playing,Square Enix,1.27,0.68,0.01,0.2,2.17
4574,Final Fantasy 13,PS3,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
4575,Final Fantasy XIII-2,PS3,2011,Role-Playing,Square Enix,0.78,0.75,0.89,0.26,2.68
4576,Final Fantasy XIII-2,X360,2011,Role-Playing,Square Enix,0.36,0.3,0.02,0.06,0.74
4577,Final Fantasy 14: A Realm Reborn,PS4,2014,Role-Playing,Square Enix,0.32,0.22,0.08,0.1,0.72
4578,Final Fantasy 14: A Realm Reborn,PS3,2013,Role-Playing,Square Enix,0.36,0.33,0.28,0.15,1.12
4579,Final Fantasy 14: A Realm Reborn,PC,2010,Role-Playing,Square Enix,0.86,0.48,0,0.17,1.5
4580,Final Fantasy 14: Heavensward,PS4,2015,Action,Square Enix,0,0.05,0.06,0.01,0.12
4581,Final Fantasy 14: Heavensward,PS3,2015,Action,Square Enix,0.01,0,0.01,0,0.02
4582,Final Fantasy 14: Heavensward,PC,2015,Action,Square Enix,0.01,0.01,0,0,0.02
4583,Final Fantasy: Crystal Chronicles,GC,2003,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,1.49
4584,Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,Square Enix,0.23,0.11,0.23,0.03,0.59
4585,Final Fight,SNES,1990,Action,Capcom,0.67,0.17,0.69,0.03,1.56
4586,Final Fight 2,SNES,1993,Action,Capcom,0.39,0.12,0.49,0.02,1.02
4587,Final Fight One,GBA,2001,Action,Ubisoft,0.09,0.03,0.08,0,0.21
4588,Final Fight: Streetwise,PS2,2006,Action,Capcom,0.03,0.02,0,0.01,0.05
4589,Final Fight: Streetwise,XB,2006,Action,Capcom,0.01,0,0,0,0.02
4590,Finding Nemo,GBA,2003,Action,THQ,1.59,1.05,0.04,0.14,2.82
4591,Finding Nemo,PS2,2003,Action,THQ,1.26,0.6,0.05,0.18,2.09
4592,Finding Nemo,GC,2003,Action,THQ,0.69,0.18,0,0.02,0.89
4593,Finding Nemo,XB,2003,Action,THQ,0.48,0.16,0,0.02,0.66
4594,Finding Nemo: Escape to the Big Blue,DS,2006,Action,THQ,0.12,0.04,0,0.01,0.17
4595,Finding Nemo: The Continuing Adventures,GBA,2004,Action,THQ,0.21,0.08,0,0.01,0.3
4596,Finny the Fish & the Seven Waters,PS2,2004,Sports,Sony Computer Entertainment,0.02,0.02,0,0.01,0.05
4597,Fire Emblem,GBA,2003,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97
4598,Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.71,0.22,0.52,0.1,1.54
4599,Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2
4600,Fire Emblem: Fuuin no Tsurugi,GBA,2002,Role-Playing,Nintendo,0,0,0.39,0,0.39
4601,Fire Emblem: Monsh? no Nazo,SNES,1994,Role-Playing,Nintendo,0,0,0.7,0,0.7
4602,Fire Emblem: Path of Radiance,GC,2005,Action,Nintendo,0.29,0.08,0.16,0.01,0.54
4603,Fire Emblem: Radiant Dawn,Wii,2007,Strategy,Nintendo,0.28,0.03,0.17,0.03,0.51
4604,Fire Emblem: Seisen no Keifu,SNES,1996,Strategy,Nintendo,0,0,0.58,0,0.58
4605,Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,Nintendo,0.31,0.03,0.27,0.03,0.65
4606,Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,DS,2010,Strategy,Nintendo,0,0,0.27,0,0.27
4607,Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89
4608,Fire Emblem: Thracia 776,SNES,1999,Strategy,Nintendo,0,0,0.26,0,0.26
4609,Fire Pro Wrestling Returns,PS2,2005,Sports,505 Games,0.04,0.03,0,0.01,0.09
4610,Fire ProWrestling,GBA,2001,Fighting,Spike,0.09,0.03,0,0,0.13
4611,Fire ProWrestling G,PS,1999,Fighting,Human Entertainment,0,0,0.18,0.01,0.19
4612,Fire ProWrestling S: 6Men Scramble,SAT,1996,Fighting,Human Entertainment,0,0,0.12,0,0.12
4613,Fireball,2600,1981,Action,Starpath Corp.,0.3,0.02,0,0,0.33
4614,Fireblade,PS2,2002,Action,Midway Games,0.09,0.07,0,0.02,0.18
4615,Fireblade,XB,2002,Action,Midway Games,0.06,0.02,0,0,0.08
4616,Fireblade,GC,2002,Action,Midway Games,0.02,0.01,0,0,0.03
4617,Firefighter F.D.18,PS2,2004,Action,Konami Digital Entertainment,0.03,0.03,0,0.01,0.07
4618,Fireman Sam: Action Stations,DS,2013,Action,Avanquest Software,0,0.01,0,0,0.01
4619,First Queen: Ornic Senki,SNES,1994,Role-Playing,Culture Brain,0,0,0.03,0,0.03
4620,Fish Tycoon,DS,2007,Simulation,Majesco Entertainment,0.24,0,0,0.02,0.27
4621,Fishdom,DS,2011,Puzzle,Atari,0.05,0,0,0,0.05
4622,Fishdom 2 Deluxe,PC,2010,Puzzle,Rondomedia,0,0.02,0,0.01,0.02
4623,Fisherman's Bait 2: Big Ol' Bass,PS,1999,Sports,Konami Digital Entertainment,0.16,0.11,0,0.02,0.29
4624,Fisherman's Bass Club,PS2,2002,Sports,Agetec,0.53,0.41,0,0.14,1.08
4625,Fisherman's Challenge,PS2,2003,Sports,Konami Digital Entertainment,0.02,0.02,0,0.01,0.04
4626,Fishing Derby,2600,1980,Sports,Activision,0.48,0.03,0,0.01,0.51
4627,Fishing Master,Wii,2007,Sports,Konami Digital Entertainment,0.29,0,0.06,0.02,0.37
4629,Fishing Master World Tour,Wii,2009,Sports,Hudson Entertainment,0.09,0,0,0.01,0.09
4630,Fishing Resort,Wii,2011,Sports,Namco Bandai Games,0.16,0,0.25,0.01,0.42
4631,Fist of the North Star: Ken's Rage,PS3,2010,Action,Ubisoft Annecy,0.06,0.03,0.55,0.02,0.66
4632,Fist of the North Star: Ken's Rage,X360,2010,Action,Ubisoft Annecy,0.07,0.02,0.06,0.01,0.16
4633,Fist of the North Star: Ken's Rage 2,WiiU,2013,Fighting,Tecmo Koei,0,0,0.02,0,0.02
4634,Fist of the North Star: Ken's Rage 2,PS3,2012,Fighting,Tecmo Koei,0,0,0.3,0,0.3
4635,Fist of the North Star: Ken's Rage 2,X360,2012,Fighting,Tecmo Koei,0.03,0.01,0.02,0,0.06
4636,Fit & Fun,Wii,2011,Sports,Unknown,0,0.01,0,0,0.01
4637,Fit in Six,PS3,2011,Sports,Ubisoft,0.12,0,0,0.01,0.13
4638,Fit in Six,Wii,2011,Sports,Ubisoft,0.11,0,0,0.01,0.12
4639,Flag Capture,2600,1978,Action,Atari,0.25,0.02,0,0,0.27
4640,Flash Focus: Vision Training in Minutes a Day,DS,2007,Fitness,Nintendo,0.87,1.57,1.05,0.35,3.84
4641,FlatOut,PS2,2004,Racing,Empire Interactive,0.19,0.15,0,0.05,0.38
4642,FlatOut,XB,2004,Racing,Empire Interactive,0.12,0.04,0,0.01,0.17
4643,FlatOut 2,PS2,2006,Racing,Empire Interactive,0.08,0.06,0,0.02,0.16
4644,FlatOut 2,XB,2006,Racing,Empire Interactive,0.03,0.01,0,0,0.04
4645,FlatOut: Head On,PSP,2008,Racing,Empire Interactive,0.13,0.11,0,0.06,0.29
4646,FlatOut: Ultimate Carnage,PC,2008,Racing,Empire Interactive,0,0.01,0,0,0.01
4647,FlatOut: Ultimate Carnage,X360,2007,Racing,Empire Interactive,0.07,0.03,0,0.01,0.11
4648,Flight Control Rocket,GBA,2005,Simulation,THQ,0.31,0.12,0,0.01,0.43
4649,FlingSmash,Wii,2010,Action,Nintendo,0.38,0.01,0.07,0.02,0.48
4650,Flipnic: Ultimate Pinball,PS2,2003,Action,Ubisoft,0.03,0.02,0,0.01,0.06
4651,Flipper Critters,DS,2007,Simulation,Conspiracy Entertainment,0.03,0,0,0,0.03
4652,Flip's Twisted World,Wii,2010,Platform,Majesco Entertainment,0.05,0,0,0,0.06
4653,Flow: Urban Dance Uprising,PS2,2005,Rhythm/Music,Ubisoft,0.02,0.01,0,0,0.04
4654,"Flower, Sun, and Rain",DS,2008,Adventure,Rising Star Games,0.07,0,0,0.01,0.07
4655,Flushed Away,GC,2006,Platform,D3Publisher,0.12,0.03,0,0,0.16
4656,Flushed Away,DS,2006,Platform,D3Publisher,0.09,0,0,0.01,0.1
4657,Flying Dragon,N64,1997,Fighting,Natsume,0.08,0.02,0,0,0.1
4658,Folklore,PS3,2007,Role-Playing,Sony Computer Entertainment,0.2,0.05,0.05,0.03,0.33
4659,Food Network: Cook or Be Cooked,Wii,2009,Simulation,Namco Bandai Games,0.41,0,0,0.03,0.44
4660,Football Academy,DS,2009,Sports,Electronic Arts,0,0.01,0,0,0.02
4661,Football Director DS,DS,2008,Sports,Pinnacle,0,0.1,0,0,0.1
4662,Football Manager 2005,PC,2004,Simulation,Sega,0,0.01,0,0,0.01
4663,Football Manager 2007,X360,2006,Simulation,Sega,0,0.01,0,0,0.02
4664,Football Manager 2010,PC,2009,Simulation,Sega,0,0.06,0,0.01,0.07
4665,Football Manager 2011,PC,2010,Simulation,Sega,0,1.01,0,0.25,1.26
4666,Football Manager 2012,PC,2011,Simulation,Sega,0.02,1.16,0,0.34,1.51
4667,Football Manager 2012,PSP,2011,Simulation,Sega,0,0.1,0,0.04,0.14
4668,Football Manager 2013,PC,2012,Simulation,Sega,0,0.95,0,0.22,1.17
4669,Football Manager 2014,PC,2013,Simulation,Sega,0,0.6,0,0.1,0.71
4670,Football Manager 2014,PSV,2013,Simulation,Sega,0,0.1,0,0.04,0.14
4671,Football Manager 2015,PC,2014,Simulation,Sega,0,0.43,0,0.05,0.48
4672,Football Manager 2016,PC,2015,Simulation,Sega,0,0.29,0,0.02,0.31
4673,Football Manager Handheld 2008,PSP,2007,Simulation,Sega,0,0.34,0,0,0.34
4674,Football Manager Handheld 2009,PSP,2008,Simulation,Sega,0,0.47,0,0.02,0.49
4675,Football Manager Handheld 2010,PSP,2009,Simulation,Sega,0,0.26,0,0.09,0.36
4676,Football Manager Handheld 2011,PSP,2010,Simulation,Sega,0,0.28,0,0.14,0.42
4677,Football Manager Live,PC,2009,Simulation,Sega,0,0.01,0,0,0.01
4678,Forbidden Siren 2,PS2,2006,Action,Sony Computer Entertainment,0,0,0.08,0,0.08
4679,Ford Bold Moves Street Racing,PSP,2006,Racing,Xplosiv,0.04,0,0,0,0.05
4680,Ford Mustang: The Legend Lives,PS2,2005,Racing,Take-Two Interactive,0.14,0.11,0,0.04,0.29
4681,Ford Mustang: The Legend Lives,XB,2005,Racing,Take-Two Interactive,0.07,0.02,0,0,0.09
4682,Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0,0.06,0.86
4683,Ford Racing 2,PS2,2003,Racing,Empire Interactive,0.49,0.38,0,0.13,1
4684,Ford Racing 2,XB,2003,Racing,Empire Interactive,0.11,0.03,0,0.01,0.15
4685,Ford Racing 3,DS,2005,Racing,Zoo Digital Publishing,0.09,0,0,0.01,0.1
4686,Ford Racing 3,GBA,2005,Racing,Zoo Digital Publishing,0.04,0.02,0,0,0.06
4687,Ford Racing 3,PS2,2004,Racing,Take-Two Interactive,0.13,0.1,0,0.03,0.26
4688,Ford Racing 3,XB,2004,Racing,Take-Two Interactive,0.07,0.02,0,0,0.09
4689,Ford Racing Off Road,Wii,2008,Racing,Xplosiv,0.06,0.4,0,0.01,0.48
4690,Ford Racing Off Road,PS2,2008,Racing,Xplosiv,0.1,0.08,0,0.03,0.2
4691,Ford Racing Off Road,PSP,2008,Racing,Xplosiv,0.05,0.08,0,0.02,0.14
4692,Ford vs. Chevy,PS2,2005,Racing,Global Star,0.11,0.09,0,0.03,0.22
4693,Ford vs. Chevy,XB,2005,Racing,Global Star,0.06,0.02,0,0,0.08
4694,Forever Kingdom,PS2,2001,Role-Playing,From Software,0.02,0.02,0.04,0.01,0.09
4695,Forgotten Realms: Demon Stone,PS2,2004,Action,Atari,0.1,0.08,0,0.03,0.2
4696,Forgotten Realms: Demon Stone,XB,2004,Action,Atari,0.06,0.02,0,0,0.09
4697,Formula 1,PS,1996,Racing,Psygnosis,0.18,0.12,0.42,0.05,0.76
4698,Formula 1 06,PS2,2006,Racing,Sony Computer Entertainment,0,0,0.04,0,0.04
4699,Formula 1 Championship Edition,PS,1997,Racing,Psygnosis,0.06,0.04,0.23,0.02,0.36
4700,Formula 1: Championship Edition,PS3,2006,Racing,Sony Computer Entertainment,0,0.57,0.04,0,0.61
4701,Formula One 2001,PS2,2001,Racing,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26
4702,Formula One World Championship: Beyond the Limit,SCD,1994,Racing,Sega,0,0,0.07,0,0.07
4703,Forsaken,PS,1998,Shooter,Acclaim Entertainment,0.13,0.09,0,0.02,0.24
4704,Fortress,GBA,2001,Action,Majesco Entertainment,0.23,0.08,0,0.01,0.32
